idx,task,platform,ui_type,group,application,pred_x_orig,pred_y_orig,gt_bbox,hit,failed_parse
0,use selection tool in toolbar of Quartus,windows,icon,Dev,quartus,1529.44099378882,344.1758241758242,"[1289, 329, 1311, 354]",False,False
1,Add output port to the project in Quartus,windows,icon,Dev,quartus,1349.0683229813665,537.032967032967,"[1282, 329, 1308, 352]",False,False
2,Start TimeQuest Timing Analyzer in toolbar of Quartus,windows,icon,Dev,quartus,569.4409937888199,836.7032967032967,"[1004, 348, 1028, 372]",False,False
3,Find something from the project in Quartus,windows,icon,Dev,quartus,998.7577639751553,715.054945054945,"[1114, 449, 1143, 474]",False,False
4,use zoom tool in Quartus toolbar ,windows,icon,Dev,quartus,1395.27950310559,304.1208791208791,"[1160, 293, 1182, 313]",False,False
5,Save all files using toolbar in Quartus,windows,icon,Dev,quartus,1867.8260869565217,145.3846153846154,"[194, 75, 210, 92]",False,False
6,open Chip Planner  in toolbar of Quartus,windows,icon,Dev,quartus,1250.6832298136646,1056.2637362637363,"[1239, 173, 1261, 194]",False,False
7,Open TimeQuest Timing Analyzer in toolbar of Quartus,windows,icon,Dev,quartus,536.6459627329192,836.7032967032967,"[1028, 346, 1053, 372]",False,False
8,open Pin Planner  in toolbar of Quartus,windows,icon,Dev,quartus,626.0869565217391,277.4175824175824,"[737, 263, 765, 290]",False,False
9,Create a new file using toolbar in Quartus,windows,icon,Dev,quartus,714.0372670807453,341.2087912087912,"[660, 330, 681, 352]",False,False
10,Add new input port to the project in Quartus,windows,icon,Dev,quartus,1326.7080745341616,347.14285714285717,"[1256, 331, 1282, 356]",False,False
11,open Assignment Editor in toolbar of Quartus,windows,icon,Dev,quartus,800.4968944099379,275.9340659340659,"[1101, 264, 1128, 292]",False,False
12,select the SM1.smf file in Quartus window,windows,text,Dev,quartus,1349.0683229813665,280.38461538461536,"[1248, 270, 1365, 289]",True,False
13,open Progranmer via toolbar in Quartus,windows,icon,Dev,quartus,581.3664596273292,762.5274725274726,"[1138, 203, 1162, 225]",False,False
14,The File Navigator in Quartus,windows,text,Dev,quartus,998.7577639751553,701.7032967032967,"[832, 691, 896, 712]",False,False
15,use hand tool in toolbar of Quartus,windows,icon,Dev,quartus,1401.2422360248447,345.65934065934067,"[1334, 331, 1358, 355]",False,False
16,open Compilation Report via toolbar in Quartus,windows,icon,Dev,quartus,640.9937888198758,265.54945054945057,"[1112, 204, 1132, 225]",False,False
17,text tool,windows,text,Dev,quartus,1120.9937888198758,237.36263736263737,"[1105, 223, 1123, 245]",True,False
18,Open the file menu in Quartus,windows,text,Dev,quartus,751.304347826087,308.57142857142856,"[652, 301, 679, 320]",False,False
19,reset to Eviews defaults,windows,text,Scientific,eviews,1201.2244897959183,731.0204081632653,"[1079, 699, 1265, 717]",False,False
20,choose frame border axes,windows,text,Scientific,eviews,1248.9795918367347,563.8775510204082,"[1211, 530, 1307, 555]",False,False
21,input user,windows,text,Scientific,eviews,1171.8367346938776,771.4285714285714,"[1068, 727, 1248, 748]",False,False
22,add,windows,text,Scientific,eviews,1338.9795918367347,554.6938775510204,"[1275, 521, 1340, 549]",False,False
